train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
408000,0.031195692718029022,0.030564844608306885,"[53.64870834350586, 9.221972465515137, 22.866497039794922, 5.0407609939575195]",53.64870834350586,0.4946821331977844,0.03759540111924092,1.0452450513839722,"[0.12257478386163712, 0.331597238779068, 0.006221651565283537, 0.5396063327789307]","[0.12331410497426987, 0.3308429718017578, 0.006680687423795462, 0.5391622185707092]",0.08784595876932144,0.030804453417658806
416000,0.031420037150382996,0.030757324770092964,"[3.9531989097595215, 8.052821159362793, 43.168643951416016, 36.835086822509766]",43.168643951416016,0.49465397000312805,0.037149831307293914,1.0455889701843262,"[0.7189875245094299, 0.1511431634426117, 0.12369432300329208, 0.0061750514432787895]","[0.7178592085838318, 0.15187065303325653, 0.12352211028337479, 0.006747985724359751]",0.08692709356546402,0.03031853213906288
424000,0.032302383333444595,0.03153861686587334,"[43.855865478515625, 33.46635818481445, 2.729285955429077, 22.950368881225586]",43.855865478515625,0.4957928955554962,0.036837428374634766,1.036011815071106,"[0.015328813344240189, 0.1498997062444687, 0.8099761605262756, 0.024795303121209145]","[0.01602383702993393, 0.14954157173633575, 0.8079805970191956, 0.026454009115695953]",0.06867329776287079,0.0235515795648098
432000,0.03342016413807869,0.033044952899217606,"[32.1077766418457, 2.7952165603637695, 44.262168884277344, 26.657651901245117]",44.262168884277344,0.49479764699935913,0.03652582895270019,1.0445555448532104,"[0.055120330303907394, 0.7739964127540588, 0.008838032372295856, 0.16204527020454407]","[0.056085072457790375, 0.7727745175361633, 0.009446325711905956, 0.16169404983520508]",0.08242803812026978,0.028794636949896812
440000,0.03110622428357601,0.030094007030129433,"[31.5670223236084, 26.564687728881836, 2.667396068572998, 38.633174896240234]",38.633174896240234,0.4960367977619171,0.036154068185162196,1.0339090824127197,"[0.14031919836997986, 0.020314829424023628, 0.8255196809768677, 0.013846206478774548]","[0.13998053967952728, 0.02191908471286297, 0.8236684203147888, 0.014432006515562534]",0.06465370208024979,0.02222190983593464
448000,0.031654417514801025,0.030882714316248894,"[40.39015197753906, 4.104006767272949, 26.169553756713867, 7.764338493347168]",40.39015197753906,0.49414318799972534,0.03587507508968828,1.0499039888381958,"[0.12764380872249603, 0.7116665840148926, 0.0035070583689957857, 0.15718260407447815]","[0.12795886397361755, 0.7100184559822083, 0.00393023993819952, 0.1580924391746521]",0.09574638307094574,0.033558472990989685
456000,0.030748357996344566,0.029603896662592888,"[39.05491638183594, 2.5469558238983154, 19.380840301513672, 28.87744140625]",39.05491638183594,0.49577173590660095,0.03557184497990817,1.036179780960083,"[0.014197716489434242, 0.8129096627235413, 0.030373549088835716, 0.14251908659934998]","[0.01482622604817152, 0.8109204769134521, 0.03200891613960266, 0.1422443985939026]",0.06949629634618759,0.023911597207188606
464000,0.03561244159936905,0.035051073879003525,"[57.14552307128906, 35.284873962402344, 2.8740108013153076, 2.885476589202881]",57.14552307128906,0.49639490246772766,0.035476058115415966,1.0306702852249146,"[0.015617315657436848, 0.14596275985240936, 0.8384199738502502, 0.0]","[0.016444602981209755, 0.14575935900211334, 0.8372601270675659, 0.0005358161288313568]",0.06133483350276947,0.019995931535959244
472000,0.032026514410972595,0.03163580968976021,"[47.71782302856445, 27.365575790405273, 2.713876724243164, 36.16598892211914]",47.71782302856445,0.4953489601612091,0.035109870604298404,1.0397924184799194,"[0.012582673691213131, 0.16868972778320312, 0.7740893959999084, 0.04463818669319153]","[0.013142135925590992, 0.16865797340869904, 0.7728190422058105, 0.045380812138319016]",0.07390215247869492,0.025666510686278343
480000,0.030330423265695572,0.02938269078731537,"[27.199291229248047, 2.677003860473633, 41.11320877075195, 32.648529052734375]",41.11320877075195,0.49586495757102966,0.034769846621819166,1.035377025604248,"[0.02322404459118843, 0.8230804800987244, 0.02219584211707115, 0.13149969279766083]","[0.024445805698633194, 0.8213107585906982, 0.02288397029042244, 0.13135941326618195]",0.06688534468412399,0.022901752963662148
